key,en,hi
"supplierPostLoadVerificationRequiredMessage","Complete supplier verification before posting loads. Upload identity and business documents, then submit them for review.","Loads post करने से पहले supplier verification पूरी करें। Identity और business documents upload करें, फिर उन्हें review के लिए submit करें।"
"supplierPostLoadVerificationUnavailableMessage","Unable to confirm supplier verification right now. Retry shortly or open verification to review your trust status.","अभी supplier verification confirm नहीं हो सकी। थोड़ी देर बाद फिर कोशिश करें या अपनी trust status review करने के लिए verification खोलें।"
"supplierPostLoadWeightLabel","Weight (tonnes)","वजन (टन)"
"supplierRaiseDisputeAttachmentAttachedSuccess","Evidence attached successfully","प्रमाण सफलतापूर्वक संलग्न किया गया"
"supplierRaiseDisputeAttachmentFailureMessage","We could not attach that evidence image right now. Try another image or retry shortly.","अभी वह evidence image attach नहीं हो सकी। कोई दूसरी image आज़माएँ या थोड़ी देर बाद फिर कोशिश करें।"
"supplierRaiseDisputeBestImageGuidanceDamageCategory","Choose the single image that best shows the damaged goods, shortage, or delivered condition at handover.","वह single image चुनें जो handover के समय damaged goods, shortage, या delivered condition को सबसे अच्छे से दिखाए।"
"supplierRaiseDisputeBestImageGuidanceDocumentCategory","Choose the clearest single document image where quantities, signatures, stamps, or POD details are readable in one frame.","सबसे clear single document image चुनें जहाँ quantities, signatures, stamps, या POD details एक frame में readable हों।"
"supplierRaiseDisputeBestImageGuidanceFallback","Choose the one clearest image that gives support the strongest proof to review first.","वह एक सबसे clear image चुनें जो support को पहले review करने के लिए strongest proof दे।"
"supplierRaiseDisputeBestImageGuidanceOther","Choose the one image that gives support the strongest proof of the issue you describe in your written reason.","वह एक image चुनें जो आपके written reason में बताए गए issue की strongest proof support को दे।"
"supplierRaiseDisputeBestImageGuidancePaymentCategory","Choose the single screenshot or payout-proof image that most clearly shows the mismatch, missing payment, or fake confirmation.","वह single screenshot या payout-proof image चुनें जो mismatch, missing payment, या fake confirmation को सबसे साफ दिखाए।"
"supplierRaiseDisputeBestImageGuidanceTimelineCategory","Choose the single screenshot or photo that gives the strongest timeline or behavior context in one image.","वह single screenshot या photo चुनें जो strongest timeline या behavior context एक image में दे।"
"supplierRaiseDisputeCategoryError","Select a valid dispute category","एक मान्य विवाद श्रेणी चुनें"
"supplierRaiseDisputeCategoryLabel","Dispute category","विवाद श्रेणी"
"supplierRaiseDisputeChecklistAbusivePreferClearestScreenshot","Prefer the clearest screenshot or image tied directly to the abusive incident.","उस clearest screenshot या image को prefer करें जो abusive incident से directly जुड़ी हो।"
"supplierRaiseDisputeChecklistAbusiveUploadIfSafe","Upload evidence only if it is safe and relevant to the case.","Evidence सिर्फ तभी upload करें जब वह safe और case के लिए relevant हो।"
"supplierRaiseDisputeChecklistAbusiveUseWrittenReason","Use the written reason to explain the sequence of events without adding sensitive internal notes.","Written reason में events का sequence explain करें, बिना sensitive internal notes जोड़े।"
"supplierRaiseDisputeChecklistDamageChooseImage","Choose the image that most clearly shows the damage or shortage at delivery.","वह image चुनें जो delivery पर damage, shortage, या affected goods को सबसे अच्छे से दिखाए।"
"supplierRaiseDisputeChecklistDamageKeepAffectedGoods","Keep the affected goods or missing quantity context visible in the frame.","Frame में affected goods या missing quantity context visible रखें।"
"supplierRaiseDisputeChecklistDamageUseWrittenReason","Use the written reason to explain what cannot be shown in the single uploaded image.","Written reason में बताएं कि single uploaded image में क्या नहीं दिखाया जा सकता।"
"supplierRaiseDisputeChecklistDelayChooseClearestTiming","Choose the clearest screenshot or photo showing the missed timing or no-show context.","वह clearest screenshot या photo चुनें जो missed timing या no-show context दिखाए।"
